rank,team,conf,games,record,adjoe,adjde,barthag,efgp,efgdp,tor,tord,orb,drb,ftr,ftrd,2pp,2ppd,3pp,3ppd,3pr,3prd,adjt,wab
179,Maine,AE,32,19-13,92.9,94.3,.4557,45.6,46.2,17.4,22.7,25.6,29.9,24.0,22.2,46.9,47.0,28.9,29.5,34.9,29.1,67.0,-9.0
180,Kent St.,MAC,31,15-16,93.1,94.5,.4555,43.6,46.5,25.7,23.6,36.9,34.5,35.3,30.7,43.8,46.5,28.9,31.0,29.6,39.7,69.9,-10.8
181,Bowling Green,MAC,31,17-14,89.3,90.9,.4501,43.1,48.0,23.3,26.8,29.7,32.9,33.1,33.8,43.5,46.4,28.4,34.0,39.8,34.8,70.8,-10.0
182,Stephen F. Austin,Slnd,34,25-9,94.5,96.3,.4439,51.2,41.4,23.9,20.7,30.3,35.3,30.6,24.7,51.6,41.0,33.7,28.2,41.2,28.9,74.0,-7.2
183,Tulane,Amer,31,11-20,89.2,91.0,.4418,44.1,43.6,24.4,21.5,33.5,34.1,29.2,28.8,45.5,43.9,27.5,28.8,32.9,37.8,69.2,-15.2
184,South Alabama,SB,34,16-18,91.9,93.9,.4381,46.4,44.8,26.8,23.0,38.1,33.6,29.6,32.9,45.7,46.0,31.9,28.4,35.7,35.6,69.2,-13.8
185,Northern Kentucky,Horz,32,15-17,93.9,96.1,.4348,44.9,47.7,21.5,19.6,31.7,28.0,30.6,28.3,45.3,47.6,29.5,31.9,40.0,35.4,70.0,-12.8
186,Sam Houston St.,CUSA,30,18-12,87.0,89.2,.4262,41.9,47.7,24.0,33.2,34.1,37.4,37.0,33.3,42.6,47.3,26.2,32.4,22.8,27.7,71.0,-8.5
187,Pacific,WCC,30,11-19,93.7,96.3,.4208,45.8,46.6,24.6,20.8,32.3,34.9,26.1,30.9,44.9,47.4,31.5,29.8,38.3,31.9,68.3,-13.9
188,Morehead St.,OVC,32,18-14,89.7,92.6,.4109,47.7,46.3,23.3,23.9,24.4,29.2,30.9,34.0,49.8,44.5,30.1,32.9,46.0,37.8,68.9,-9.6
189,Illinois Chicago,MVC,32,14-18,94.2,97.3,.4062,47.3,48.3,19.0,20.3,31.5,30.9,27.2,25.2,48.3,48.0,29.1,32.6,22.5,31.8,65.4,-15.1
190,Cal St. Fullerton,BW,32,18-14,89.6,93.2,.3892,40.7,50.8,22.9,33.2,41.0,33.4,33.3,35.4,41.3,51.2,25.8,33.5,22.3,40.0,73.5,-11.9
191,UAB,Amer,30,11-19,94.6,98.5,.3866,50.7,45.2,22.2,18.5,23.6,34.0,22.4,25.1,49.4,44.0,35.2,31.9,39.5,31.5,68.8,-15.9
192,Lehigh,Pat,31,17-14,97.0,101.0,.3865,51.3,49.1,23.4,23.8,27.2,34.5,31.4,27.5,53.0,48.1,33.0,34.3,49.3,31.2,67.5,-11.3
193,NJIT,AE,30,18-12,94.7,98.5,.3865,50.7,42.4,22.6,19.0,31.3,34.7,23.8,24.4,51.7,41.6,32.6,29.8,36.2,26.5,69.3,-9.8
194,St. Thomas,Sum,32,16-16,90.4,94.2,.3844,47.7,46.4,24.2,21.3,28.8,30.1,32.8,28.9,48.8,45.9,30.5,31.7,36.6,29.8,65.4,-12.4
